Ice-Agg collection for the flat orientation. 
Mode from 300 aggregates. 
Characteristic value taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.005 0.273 2.032 13.848 0.010 100.000 1.000 5.000 -0.009 
0.005 0.273 13.848 23.547 0.010 100.000 1.000 10.000 -0.004 
0.005 0.273 23.547 33.680 0.010 100.000 1.000 10.000 -0.004 
0.005 0.273 33.680 46.037 0.010 100.000 1.000 10.000 -0.008 
0.005 0.273 46.037 62.917 0.010 100.000 1.000 20.000 -0.010 
0.005 0.273 62.917 85.527 0.010 100.000 1.000 30.000 -0.010 
0.005 0.273 85.527 117.637 0.010 100.000 1.000 50.000 -0.001 
0.005 0.273 117.637 160.303 0.010 100.000 2.000 60.000 -0.001 
0.005 0.273 160.303 215.184 0.010 100.000 2.000 90.000 -0.006 
0.005 0.273 215.184 283.210 0.010 100.000 3.000 100.000 -0.010 
0.005 0.273 283.210 370.632 0.010 100.000 3.000 100.000 -0.011 
0.005 0.273 370.632 485.754 0.010 100.000 4.000 200.000 -0.003 
0.005 0.273 485.754 647.997 0.010 100.000 6.000 200.000 -0.006 
0.005 0.273 647.997 874.237 0.010 100.000 5.000 300.000 -0.007 
0.005 0.273 874.237 1192.512 0.010 100.000 8.000 500.000 -0.007 
0.005 0.273 1192.512 1635.899 0.010 100.000 20.000 600.000 -0.007 
0.005 0.273 1635.899 2209.750 0.010 100.000 30.000 900.000 -0.004 
0.005 0.273 2209.750 2914.894 0.010 100.000 30.000 1000.000 -0.009 
0.005 0.273 2914.894 3819.789 0.010 100.000 40.000 1000.000 -0.006 
0.005 0.273 3819.789 4999.616 0.010 100.000 40.000 1000.000 -0.003 
0.273 0.327 2.317 16.449 0.010 37.927 1.000 5.000 -0.007 
0.273 0.327 16.449 28.014 0.010 61.585 1.000 10.000 -0.010 
0.273 0.327 28.014 40.364 0.010 100.000 1.000 10.000 -0.007 
0.273 0.327 40.364 55.830 0.010 100.000 1.000 20.000 -0.010 
0.273 0.327 55.830 75.513 0.010 100.000 1.000 30.000 -0.006 
0.273 0.327 75.513 101.046 0.010 100.000 1.000 40.000 -0.010 
0.273 0.327 101.046 136.422 0.010 100.000 2.000 50.000 -0.008 
0.273 0.327 136.422 184.228 0.010 100.000 2.000 60.000 -0.000 
0.273 0.327 184.228 243.514 0.010 100.000 2.000 90.000 -0.001 
0.273 0.327 243.514 318.852 0.010 100.000 3.000 100.000 -0.008 
0.273 0.327 318.852 411.029 0.010 100.000 4.000 100.000 -0.008 
0.273 0.327 411.029 529.999 0.010 100.000 4.000 200.000 -0.001 
0.273 0.327 529.999 690.419 0.010 100.000 6.000 200.000 -0.009 
0.273 0.327 690.419 912.722 0.010 100.000 8.000 300.000 -0.004 
0.273 0.327 912.722 1234.540 0.010 100.000 8.000 500.000 -0.010 
0.273 0.327 1234.540 1672.826 0.010 100.000 20.000 600.000 -0.007 
0.273 0.327 1672.826 2234.324 0.010 100.000 20.000 900.000 -0.002 
0.273 0.327 2234.324 2940.909 0.010 100.000 30.000 1000.000 -0.004 
